workYear,education,financeStage,companyLogo,district,companyId,explain,industryField,companyLabelList,positionLables,firstType,formatCreateTime,industryLables,companySize,positionName,jobNature,deliver,gradeDescription,companyFullName,createTime,positionId,companyShortName,salary,isSchoolJob,secondType,positionAdvantage
1-3年,大专,B轮,i/image2/M00/0C/6A/CgotOVngNqOADBGdAACTg7P-qtc399.jpg,南山区,215388,,"生活服务,移动互联网","行业新风口,B轮,外资企业,发展迅速","财务,税务,统计",综合职能类,2天前发布,,50-150人,会计,全职,0,,深圳任意存科技有限公司,2018-05-30 09:57:24,4647760,Boxful 宝师傅,5k-8k,0,财务,"外企,领导好,团队气氛佳,行业新风口"
1-3年,不限,不需要融资,i/image2/M00/34/4B/CgoB5lpDEvGAXpfPAABJoxYu2Y4170.png,龙华新区,281347,,其他,,"金融,财务,税务,统计",综合职能类,1天前发布,"金融,财务,税务,统计",15-50人,会计,全职,0,,深圳市紫微文教科技有限公司,2018-05-31 11:27:53,4352857,紫微文教,5k-8k,0,财务,"包住,社会保险,绩效奖金,晋升空间大"
1-3年,大专,A轮,i/image/M00/8E/9F/CgpFT1sCJY-AfoM2AAEnNu_fAVI179.jpg,宝安区,361441,,广告营销 医疗健康,"""""",,综合职能类,2018-05-21,,150-500人,会计,全职,0,,深圳市雨佳田实业发展有限公司,2018-05-21 10:04:27,4598218,深圳市雨佳田实业发展有限公司,4K-6K,0,财务,新转型公司，发展空间大，期待你的加入！
不限,本科,A轮,image1/M00/00/18/Cgo8PFTUWE2AaTTFAAB9OHIhOKs982.png,南山区,12083,,移动互联网,"五险一金,通讯津贴,带薪年假,绩效奖金","移动互联网,运营,php",综合职能类,1天前发布,"移动互联网,运营,php",150-500人,会计实习生,全职,0,,深圳广联赛讯有限公司,2018-05-31 18:14:00,4161241,广联赛讯,2k-3k,0,财务,"团队氛围好,成长空间大"
1-3年,本科,上市公司,image1/M00/12/60/Cgo8PFUCuqaAX5E3AACKbxAiWcg642.jpg,南山区,10941,,移动互联网,"绩效奖金,年终分红,股票期权,专项奖金","财务,税务,AR",综合职能类,2天前发布,,2000人以上,全盘会计,全职,0,,深圳和而泰智能控制股份有限公司,2018-05-30 09:23:33,4550314,和而泰,7k-12k,0,财务,"上市公司,福利丰厚,前景无限"
1-3年,本科,不需要融资,i/image/M00/6B/29/CgpFT1mxD-GAdckOAABOpGRGqLg540.png,南山区,175988,,"移动互联网,游戏","带薪年假,定期体检,扁平管理,节日礼物","银行,财务,税务,统计",综合职能类,09:44发布,"银行,财务,税务,统计",150-500人,会计,全职,0,,深圳市三只小熊科技有限公司,2018-06-01 09:44:43,4591035,未来游戏,6k-8k,0,财务,".,.,.,."
1-3年,本科,上市公司,i/image2/M00/00/3A/CgoB5lm7QH6AUz8YAADmPha0ZmM362.png,福田区,220821,,"生活服务,硬件","年底双薪,定期体检,带薪年假,绩效奖金","税务,财务",综合职能类,1天前发布,,150-500人,会计专员,全职,0,,深圳市万通顺达科技股份有限公司,2018-05-31 11:20:15,4651793,万通顺达,6k-8k,0,财务,"五险一金,节日福利,带薪年假"
3-5年,本科,天使轮,i/image2/M00/28/57/CgoB5lok3JWASX7SAAAUDfxkoVQ858.png,罗湖区,294111,,"移动互联网,教育",,"财务,结算,出纳,税务,成本",综合职能类,1天前发布,,15-50人,会计,全职,0,,深圳小马未来科技有限公司,2018-05-31 19:42:33,4600056,vipyoung,8k-12k,0,财务,"交通便利,发展空间"
1年以下,大专,不需要融资,i/image2/M00/30/19/CgoB5lo7WLiAPDNAAAAoX7ptsAY022.png,福田区,237934,,移动互联网,"带薪年假,领导nice,酷文化","助理,财务,税务,统计",综合职能类,10:13发布,,150-500人,会计专员,全职,0,,深圳市分时共享网络有限公司,2018-06-01 10:13:55,4287057,i GO 我行,4k-6k,0,财务,"扁平化,共享汽车,福利多"
1-3年,大专,未融资,i/image2/M00/47/8C/CgotOVrZruuASQ-zAAAjfy6SBcI207.png,南山区,154860,,移动互联网、金融,"节日礼物,岗位晋升,五险一金,带薪年假","银行,助理,税务,财务,统计",综合职能类,1天前发布,"银行,助理,税务,财务,统计",50-150人,会计专员,全职,0,,深圳凯石信息科技有限公司,2018-05-31 14:35:35,4651047,深圳凯石信息科技有限公司,4k-6k,0,财务,"发展前景大,福利多多"
